Instability, Abstractness
0.938462, 0.029412 
0.942529, 0.027778 
0.942529, 0.027778 
0.942529, 0.027778 
0.940594, 0.026316 
0.938596, 0.025000 
0.943662, 0.023810 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.944444, 0.022727 
0.954733, 0.020408 
0.954733, 0.020408 
0.954733, 0.020408 
0.954733, 0.020408 
0.954733, 0.020408 
0.954733, 0.020408 
0.952381, 0.018182 
0.952381, 0.018182 
0.952381, 0.018182 
0.952381, 0.018182 
0.952381, 0.018182 
0.952381, 0.018182 
0.952381, 0.018182 
0.949527, 0.017241 
0.949527, 0.017241 
0.949527, 0.017241 
0.949527, 0.017241 
0.949527, 0.017241 
0.949527, 0.017241 
0.949527, 0.017241 
0.949527, 0.017241 
0.949527, 0.017241 
0.949527, 0.017241 
0.949527, 0.017241 
0.943284, 0.015625 
0.925824, 0.013333 
0.925824, 0.013333 
0.925824, 0.013333 
0.925824, 0.013333 
0.925824, 0.013333 
0.925824, 0.013333 
0.925824, 0.013333 
0.925824, 0.013333 
0.925824, 0.013333 
0.925824, 0.013333 
0.925824, 0.013333 
0.923483, 0.012987 
0.923483, 0.012987 
0.923483, 0.012987 
0.923483, 0.012987 
0.923483, 0.012987 
0.923483, 0.012987 
0.923483, 0.012987 
0.923483, 0.012987 
0.923483, 0.012987 
0.923483, 0.012987 
0.920863, 0.012346 
0.920863, 0.012346 
0.920863, 0.012346 
0.920863, 0.012346 
0.920863, 0.012346 
0.920863, 0.012346 
0.920863, 0.012346 
0.918239, 0.033333 
0.918239, 0.033333 
0.918239, 0.033333 
0.918239, 0.033333 
0.918239, 0.033333 
0.918239, 0.033333 
0.918239, 0.033333 
0.918239, 0.033333 
0.918239, 0.033333 
0.918239, 0.033333 
0.918239, 0.033333 
